Date,Open,High,Low,Close,Adj Close,Volume,a,b,c,d,e,f,event?,leadup
2/5/17,1043.52002,1043.630005,1022.369995,1027.339966,1027.339966,114208000,,,,,,,,
2/6/17,1028.400024,1044.640015,1028.160034,1038.150024,1038.150024,111762000,,,,,,,,
2/7/17,1040.140015,1061.930054,1040.140015,1061.349976,1061.349976,146007008,,,,,,,,
2/8/17,1062.319946,1078.969971,1037.48999,1063.069946,1063.069946,201855008,,,,,,,,
2/9/17,1064.699951,1088.98999,953.343994,994.382996,994.382996,407220000,,,,,,,,
2/10/17,995.632019,998.905029,946.690979,988.674011,988.674011,190452000,,,,,,,,
2/11/17,988.89801,1009.289978,982.830017,1004.450012,1004.450012,102261000,,,,,,,,
2/12/17,1003.52002,1004.76001,996.921021,999.18103,999.18103,67530000,,,,,,,,
2/13/17,998.88501,1002.099976,976.002014,990.642029,990.642029,100607000,,,,,,,,
2/14/17,991.734985,1011.51001,986.471008,1004.549988,1004.549988,137946000,,,,,,,,
2/15/17,1006.210022,1008.840027,1001.580017,1007.47998,1007.47998,89759400,,,,,,,,
2/16/17,1007.650024,1033.369995,1007.650024,1027.439941,1027.439941,122277000,,,,,,,,
2/17/17,1026.119995,1053.170044,1025.640015,1046.209961,1046.209961,136474000,,,,,,,,
2/18/17,1049.209961,1061.099976,1046.959961,1054.420044,1054.420044,99073504,,,,,,,,
